Tamanho_N,Tempo_Execucao_s
10,4.1977000364568084e-05
10,96
100,0.00026767699819174595
100,96
1000,0.005331257998477668
1000,236
10000,0.02105532100176788
10000,236
100000,0.2926217029998952
100000,236
